time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
209.74603,0.0347411,149,,,1
209.78075,0.034722902,149,,,1
209.81546,0.0347226,149,,,1
209.85017,0.0347227,149,,,1
209.88489,0.034723,149,,,1
209.9196,0.0347225,149,,,1
209.95432,0.034722902,149,,,1
209.98903,0.0347229,149,,,1
210.02376,0.0347394,149,,,1
210.05847,0.034723,149,,,1
210.09319,0.0347231,149,,,1
210.1279,0.034722902,149,,,1
210.16261,0.034722798,149,,,1
210.19733,0.0347227,149,,,1
210.23204,0.0347231,149,,,1
210.26677,0.0347361,149,,,1
210.3015,0.034730002,149,,,1
210.33621,0.034723,149,,,1
210.37093,0.0347229,149,,,1
210.40564,0.034722902,149,,,1
210.44035,0.0347228,148,,,1
210.47507,0.034722798,148,,,1
210.50978,0.0347228,148,,,1
210.5445,0.0347231,148,,,1
210.57921,0.0347228,148,,,1
210.61392,0.0347227,148,,,1
210.64864,0.0347229,148,,,1
210.68335,0.034722902,148,,,1
210.71806,0.034723,148,,,1
210.7528,0.0347476,148,,,1
210.78752,0.034723,148,,,1
210.82224,0.034723,148,,,1
210.85695,0.034723103,148,,,1
210.89166,0.0347229,148,,,1
210.92638,0.034723,148,,,1
210.96109,0.0347228,148,,,1
210.9958,0.0347233,148,,,1
211.03052,0.0347232,148,,,1
211.06523,0.034722902,148,,,1
211.09995,0.034722697,148,,,1
211.13466,0.034723002,148,,,1
211.16937,0.034722798,148,,,1
211.20409,0.0347228,148,,,1
211.2388,0.0347227,148,,,1
211.27351,0.0347229,148,,,1
211.30823,0.034722902,148,,,1
211.34294,0.0347229,148,,,1
211.37766,0.0347228,148,,,1
211.41237,0.0347228,147,,,1
211.44708,0.0347231,147,,,1
211.4818,0.0347229,147,,,1
211.51651,0.034722902,147,,,1
211.55122,0.034723,147,,,1
211.58594,0.0347228,147,,,1
211.62067,0.034739997,147,,,1
211.65538,0.034722902,147,,,1
211.6901,0.0347229,147,,,1
211.72481,0.0347227,147,,,1
211.75952,0.034723002,147,,,1
211.79424,0.034723,147,,,1
211.82895,0.0347227,147,,,1
211.86366,0.034723,147,,,1
211.89838,0.034722902,147,,,1
211.93694,0.038569197,147,,,1
211.97165,0.0347227,147,,,1
212.00636,0.0347231,147,,,1
212.04108,0.0347228,147,,,1
212.07838,0.037327416,147,,,1
212.1139,0.03553461,147,,,1
212.1477,0.033837244,147,,,1
212.18277,0.03504579,147,,,1
212.21663,0.033772677,147,,,1
212.25179,0.03510824,147,,,1
212.28725,0.035498824,147,,,1
212.32217,0.03489069,147,,,1
212.35765,0.03550148,147,,,1
212.39352,0.03592702,147,,,1
212.42886,0.03536426,147,,,1
212.46674,0.037858456,147,,,1
212.5028,0.036077835,147,,,1
212.54141,0.03861987,147,,,1
212.57594,0.034526184,147,,,1
212.61066,0.0347233,147,,,1
212.64537,0.034725197,147,,,1
212.68008,0.034723002,147,,,1
